Model,Language,SpecLanguage,PromptStyle,Run,Status,CyclesCompleted
qwen:4b,en,s,expression,3,"FAIL: Cycle 1 failed.",0
stablelm2:1.6b,ja,pseudocode,hyper,2,"FAIL: Cycle 1 failed.",0
phi:latest,en,pseudocode,hyper,1,"FAIL: Cycle 1 failed.",0
llama2:7b,en,minilang,fewshot,3,"FAIL: Cycle 1 failed.",0
qwen:1.8b,ja,minilang,fewshot,1,"FAIL: Cycle 1 failed.",0
llama3.2:1b,ja,s,expression,3,"FAIL: Cycle 1 failed.",0
llama3.2:3b,en,s,expression,2,"SUCCESS: All cycles completed.",10
qwen2:1.5b,en,s,expression,3,"FAIL: Cycle 2 failed.",1
yi:6b,ja,minilang,fewshot,3,"FAIL: Cycle 1 failed.",0
llama2:7b,ja,pseudocode,fewshot,1,"FAIL: Cycle 1 failed.",0
qwen:0.5b,ja,minilang,fewshot,1,"FAIL: Cycle 1 failed.",0
qwen:4b,ja,minilang,fewshot,1,"FAIL: Cycle 1 failed.",0
deepscaler:1.5b,ja,pseudocode,hyper,1,"FAIL: Cycle 1 failed.",0
phi3:mini,ja,minilang,fewshot,2,"FAIL: Cycle 1 failed.",0
phi3:mini,ja,s,expression,1,"FAIL: Cycle 1 failed.",0
falcon3:1b,en,minilang,fewshot,2,"FAIL: Cycle 1 failed.",0
llama3.2:1b,en,minilang,fewshot,1,"FAIL: Cycle 1 failed.",0
gemma:2b,en,pseudocode,fewshot,1,"FAIL: Cycle 1 failed.",0
deepseek:r1:1.5b,ja,minilang,fewshot,2,"FAIL: Cycle 1 failed.",0
tinyllama:1.1b,ja,s,expression,2,"FAIL: Cycle 1 failed.",0
deepscaler:1.5b,en,pseudocode,hyper,1,"FAIL: Cycle 1 failed.",0
stablelm2:1.6b,ja,minilang,hyper,1,"FAIL: Cycle 1 failed.",0
llama2:7b,ja,s,expression,1,"FAIL: Cycle 1 failed.",0
qwen:0.5b,ja,pseudocode,fewshot,1,"FAIL: Cycle 1 failed.",0
llama2:7b,ja,minilang,fewshot,2,"FAIL: Cycle 1 failed.",0
llama2:7b,ja,s,expression,2,"FAIL: Cycle 1 failed.",0
orca:mini:3b,ja,s,expression,2,"FAIL: Cycle 1 failed.",0
qwen:0.5b,ja,minilang,hyper,2,"FAIL: Cycle 1 failed.",0
llama3.2:3b,en,minilang,hyper,1,"SUCCESS: All cycles completed.",10
phi3:mini,en,minilang,hyper,3,"FAIL: Cycle 5 failed.",4
qwen:1.8b,ja,s,expression,3,"FAIL: Cycle 1 failed.",0
phi:latest,ja,s,expression,3,"FAIL: Cycle 1 failed.",0
llama2:7b,en,s,expression,2,"SUCCESS: All cycles completed.",10
phi:latest,ja,minilang,hyper,1,"FAIL: Cycle 1 failed.",0
phi3:mini,ja,pseudocode,hyper,2,"FAIL: Cycle 4 failed.",3
qwen:0.5b,en,pseudocode,fewshot,1,"FAIL: Cycle 1 failed.",0
gemma3:270m,en,minilang,hyper,2,"FAIL: Cycle 1 failed.",0
llama3.2:1b,en,pseudocode,hyper,2,"FAIL: Cycle 1 failed.",0
gemma3:270m,ja,minilang,fewshot,3,"FAIL: Cycle 1 failed.",0
gemma:2b,ja,pseudocode,fewshot,1,"FAIL: Cycle 1 failed.",0
llama2:7b,en,s,expression,1,"FAIL: Cycle 1 failed.",0
llama3.2:3b,ja,s,expression,1,"FAIL: Cycle 1 failed.",0
qwen2.5:0.5b,ja,minilang,fewshot,3,"FAIL: Cycle 1 failed.",0
tinyllama:1.1b,en,s,expression,1,"FAIL: Cycle 1 failed.",0
llama2:7b,en,pseudocode,fewshot,1,"FAIL: Cycle 1 failed.",0
llama3.2:1b,ja,pseudocode,hyper,2,"FAIL: Cycle 1 failed.",0
orca:mini:3b,en,s,expression,1,"FAIL: Cycle 1 failed.",0
smollm2:1.7b,en,minilang,hyper,3,"FAIL: Cycle 3 failed.",2
phi3:mini,en,pseudocode,hyper,2,"FAIL: Cycle 1 failed.",0
gemma3:270m,ja,s,expression,3,"FAIL: Cycle 1 failed.",0
phi3:mini,en,s,expression,2,"FAIL: Cycle 1 failed.",0
stablelm2:1.6b,ja,minilang,fewshot,1,"FAIL: Cycle 1 failed.",0
gemma3:270m,en,s,expression,1,"FAIL: Cycle 1 failed.",0
orca:mini:3b,ja,s,expression,3,"FAIL: Cycle 1 failed.",0
qwen:0.5b,ja,minilang,hyper,3,"FAIL: Cycle 1 failed.",0
qwen:1.8b,en,s,expression,1,"FAIL: Cycle 1 failed.",0
tinyllama:1.1b,ja,s,expression,3,"FAIL: Cycle 1 failed.",0
deepseek:r1:1.5b,ja,minilang,fewshot,3,"FAIL: Cycle 1 failed.",0
llama2:7b,en,pseudocode,hyper,1,"SUCCESS: All cycles completed.",10
llama2:7b,ja,s,expression,3,"FAIL: Cycle 1 failed.",0
llama2:7b,ja,minilang,fewshot,3,"FAIL: Cycle 1 failed.",0
qwen:1.8b,en,minilang,fewshot,1,"FAIL: Cycle 1 failed.",0
falcon3:1b,en,minilang,fewshot,3,"FAIL: Cycle 2 failed.",1
qwen:1.8b,ja,minilang,hyper,1,"FAIL: Cycle 1 failed.",0
phi3:mini,ja,minilang,fewshot,3,"FAIL: Cycle 2 failed.",1
yi:6b,ja,minilang,fewshot,2,"FAIL: Cycle 1 failed.",0
phi:latest,en,s,expression,1,"FAIL: Cycle 1 failed.",0
gemma3:4b,ja,pseudocode,fewshot,1,"SUCCESS: All cycles completed.",10
qwen2:1.5b,en,s,expression,2,"FAIL: Cycle 5 failed.",4
llama3.2:1b,ja,s,expression,2,"FAIL: Cycle 1 failed.",0
llama3.2:3b,en,s,expression,3,"SUCCESS: All cycles completed.",10
qwen2:1.5b,ja,pseudocode,fewshot,1,"FAIL: Cycle 1 failed.",0
llama2:7b,ja,pseudocode,hyper,1,"FAIL: Cycle 1 failed.",0
llama3.2:1b,ja,pseudocode,hyper,3,"FAIL: Cycle 1 failed.",0
qwen2:1.5b,en,pseudocode,fewshot,1,"FAIL: Cycle 2 failed.",1
phi3:mini,en,s,expression,3,"FAIL: Cycle 3 failed.",2
smollm:360m,en,minilang,fewshot,1,"FAIL: Cycle 1 failed.",0
gemma3:270m,ja,s,expression,2,"FAIL: Cycle 1 failed.",0
qwen3:0.6b,ja,minilang,hyper,1,"FAIL: Cycle 1 failed.",0
smollm2:1.7b,en,minilang,hyper,2,"FAIL: Cycle 9 failed.",8
gemma3:4b,en,pseudocode,fewshot,1,"SUCCESS: All cycles completed.",10
phi3:mini,en,pseudocode,hyper,3,"FAIL: Cycle 1 failed.",0
gemma3:270m,ja,minilang,fewshot,2,"FAIL: Cycle 1 failed.",0
llama3.2:1b,en,s,expression,1,"FAIL: Cycle 1 failed.",0
qwen2:1.5b,ja,s,expression,1,"FAIL: Cycle 1 failed.",0
qwen2.5:0.5b,ja,minilang,fewshot,2,"FAIL: Cycle 1 failed.",0
llama3.2:1b,ja,minilang,hyper,1,"FAIL: Cycle 1 failed.",0
gemma3:270m,en,minilang,hyper,3,"FAIL: Cycle 1 failed.",0
phi3:mini,ja,pseudocode,hyper,3,"FAIL: Cycle 2 failed.",1
gemma:2b,en,minilang,fewshot,1,"FAIL: Cycle 1 failed.",0
llama3.2:1b,en,pseudocode,hyper,3,"FAIL: Cycle 1 failed.",0
phi:latest,ja,s,expression,2,"FAIL: Cycle 1 failed.",0
qwen:1.8b,ja,s,expression,2,"FAIL: Cycle 1 failed.",0
llama2:7b,en,s,expression,3,"SUCCESS: All cycles completed.",10
phi3:mini,en,minilang,hyper,2,"FAIL: Cycle 1 failed.",0
llama3.2:1b,en,s,expression,3,"FAIL: Cycle 1 failed.",0
gemma3:270m,ja,pseudocode,hyper,3,"FAIL: Cycle 1 failed.",0
gemma:2b,ja,s,expression,3,"FAIL: Cycle 1 failed.",0
qwen:4b,ja,s,expression,1,"FAIL: Cycle 1 failed.",0
deepseek:r1:1.5b,ja,pseudocode,hyper,2,"FAIL: Cycle 1 failed.",0
smollm:360m,en,pseudocode,hyper,1,"FAIL: Cycle 1 failed.",0
gemma3:4b,en,minilang,hyper,1,"SUCCESS: All cycles completed.",10
yi:6b,en,s,expression,1,"FAIL: Cycle 1 failed.",0
falcon3:3b,en,minilang,fewshot,3,"SUCCESS: All cycles completed.",10
qwen2:1.5b,ja,pseudocode,hyper,3,"FAIL: Cycle 1 failed.",0
qwen2.5:0.5b,en,pseudocode,hyper,1,"FAIL: Cycle 1 failed.",0
deepseek:r1:1.5b,ja,pseudocode,fewshot,1,"FAIL: Cycle 1 failed.",0
gemma:2b,en,s,expression,1,"FAIL: Cycle 1 failed.",0
qwen:4b,ja,pseudocode,fewshot,3,"FAIL: Cycle 1 failed.",0
qwen2.5:0.5b,ja,pseudocode,fewshot,2,"FAIL: Cycle 1 failed.",0
orca:mini:3b,en,pseudocode,fewshot,3,"FAIL: Cycle 4 failed.",3
smollm:360m,en,s,expression,1,"FAIL: Cycle 1 failed.",0
qwen:4b,ja,minilang,hyper,2,"FAIL: Cycle 1 failed.",0
deepseek:r1:1.5b,ja,minilang,hyper,2,"FAIL: Cycle 9 failed.",8
deepscaler:1.5b,en,s,expression,3,"FAIL: Cycle 1 failed.",0
gemma3:270m,en,pseudocode,hyper,3,"FAIL: Cycle 1 failed.",0
qwen3:0.6b,ja,minilang,fewshot,2,"FAIL: Cycle 1 failed.",0
smollm:360m,ja,pseudocode,hyper,1,"FAIL: Cycle 1 failed.",0
deepseek:r1:1.5b,en,pseudocode,hyper,2,"FAIL: Cycle 1 failed.",0
phi:latest,ja,pseudocode,fewshot,2,"FAIL: Cycle 1 failed.",0
qwen2.5:0.5b,ja,pseudocode,hyper,1,"FAIL: Cycle 1 failed.",0
falcon3:3b,en,pseudocode,fewshot,1,"SUCCESS: All cycles completed.",10
qwen2:1.5b,en,pseudocode,hyper,3,"FAIL: Cycle 1 failed.",0
falcon3:3b,ja,pseudocode,fewshot,1,"SUCCESS: All cycles completed.",10
qwen2:1.5b,en,minilang,fewshot,3,"FAIL: Cycle 1 failed.",0
phi:latest,en,pseudocode,fewshot,2,"FAIL: Cycle 1 failed.",0
