Model,Language,SpecLanguage,PromptStyle,TestCase,Run,Status,CyclesCompleted
falcon3-3b,ja,pseudocode,hyper,guided,18,"FAIL: Cycle 4 failed.",3
llama3.2-3b,ja,s,expression,fewshot,29,"FAIL: Cycle 3 failed.",2
llama3.2-3b,en,s,expression,fewshot,15,"FAIL: Cycle 2 failed.",1
falcon3-3b,ja,minilang,fewshot,fizzbuzz,20,"SUCCESS: All cycles completed.",10
llama3.2-3b,ja,s,expression,fewshot,16,"FAIL: Cycle 1 failed.",0
llama3.2-3b,ja,pseudocode,hyper,guided,24,"FAIL: Cycle 2 failed.",1
llama3.2-3b,en,s,expression,fewshot,4,"FAIL: Cycle 1 failed.",0
falcon3-3b,ja,pseudocode,hyper,guided,27,"FAIL: Cycle 2 failed.",1
llama3.2-3b,ja,minilang,fewshot,fizzbuzz,30,"FAIL: Cycle 1 failed.",0
llama3.2-3b,en,s,expression,fewshot,12,"FAIL: Cycle 1 failed.",0
gemma3-4b,ja,s,expression,fewshot,8,"FAIL: Cycle 5 failed.",4
falcon3-3b,ja,minilang,fewshot,fizzbuzz,18,"FAIL: Cycle 5 failed.",4
llama3.2-3b,en,s,expression,fewshot,3,"FAIL: Cycle 1 failed.",0
falcon3-3b,ja,pseudocode,hyper,guided,20,"SUCCESS: All cycles completed.",10
llama3.2-3b,ja,pseudocode,hyper,guided,23,"FAIL: Cycle 2 failed.",1
falcon3-3b,ja,minilang,fewshot,fizzbuzz,27,"FAIL: Cycle 1 failed.",0
llama3.2-3b,ja,s,expression,fewshot,11,"FAIL: Cycle 4 failed.",3
gemma3-4b,ja,s,expression,hyper,14,"SUCCESS: All cycles completed.",10
llama3.2-3b,ja,minilang,fewshot,fizzbuzz,15,"FAIL: Cycle 1 failed.",0
llama3.2-3b,ja,minilang,hyper,guided,3,"FAIL: Cycle 1 failed.",0
gemma3-4b,ja,pseudocode,fewshot,fizzbuzz,8,"SUCCESS: All cycles completed.",10
llama3.2-3b,en,s,expression,fewshot,30,"FAIL: Cycle 1 failed.",0
llama3.2-3b,en,pseudocode,hyper,guided,13,"SUCCESS: All cycles completed.",10
falcon3-3b,en,pseudocode,hyper,guided,10,"SUCCESS: All cycles completed.",10
llama3.2-3b,ja,minilang,hyper,guided,4,"FAIL: Cycle 1 failed.",0
falcon3-3b,en,pseudocode,hyper,guided,28,"SUCCESS: All cycles completed.",10
llama3.2-3b,ja,minilang,fewshot,fizzbuzz,12,"FAIL: Cycle 1 failed.",0
gemma3-4b,ja,s,expression,hyper,13,"SUCCESS: All cycles completed.",10
falcon3-3b,en,pseudocode,hyper,guided,17,"SUCCESS: All cycles completed.",10
llama3.2-3b,en,pseudocode,hyper,guided,14,"SUCCESS: All cycles completed.",10
llama3.2-3b,en,minilang,hyper,guided,7,"FAIL: Cycle 3 failed.",2
llama3.2-3b,ja,pseudocode,hyper,guided,30,"FAIL: Cycle 2 failed.",1
gemma3-4b,ja,s,expression,hyper,25,"SUCCESS: All cycles completed.",10
gemma3-4b,ja,pseudocode,fewshot,fizzbuzz,6,"SUCCESS: All cycles completed.",10
llama3.2-3b,ja,minilang,fewshot,fizzbuzz,24,"FAIL: Cycle 1 failed.",0
falcon3-3b,en,pseudocode,hyper,guided,21,"SUCCESS: All cycles completed.",10
llama3.2-3b,en,pseudocode,hyper,guided,22,"SUCCESS: All cycles completed.",10
llama3.2-3b,en,minilang,hyper,guided,9,"FAIL: Cycle 1 failed.",0
llama3.2-3b,ja,minilang,fewshot,fizzbuzz,23,"FAIL: Cycle 1 failed.",0
gemma3-4b,ja,s,expression,hyper,22,"SUCCESS: All cycles completed.",10
gemma3-4b,ja,pseudocode,fewshot,fizzbuzz,1,"SUCCESS: All cycles completed.",10
falcon3-3b,en,pseudocode,hyper,guided,19,"SUCCESS: All cycles completed.",10
llama3.2-3b,en,pseudocode,hyper,guided,25,"SUCCESS: All cycles completed.",10
falcon3-3b,en,pseudocode,hyper,guided,26,"SUCCESS: All cycles completed.",10
llama3.2-3b,en,s,expression,hyper,6,"FAIL: Cycle 1 failed.",0
gemma3-4b,en,pseudocode,hyper,guided,22,"SUCCESS: All cycles completed.",10
falcon3-3b,en,minilang,fewshot,fizzbuzz,2,"SUCCESS: All cycles completed.",10
falcon3-3b,en,s,expression,hyper,2,"FAIL: Cycle 1 failed.",0
llama3.2-3b,ja,pseudocode,hyper,guided,9,"FAIL: Cycle 2 failed.",1
gemma3-4b,en,s,expression,hyper,22,"FAIL: Cycle 7 failed.",6
gemma3-4b,ja,pseudocode,hyper,guided,30,"SUCCESS: All cycles completed.",10
gemma3-4b,ja,minilang,fewshot,fizzbuzz,4,"SUCCESS: All cycles completed.",10
gemma3-4b,en,pseudocode,hyper,guided,25,"SUCCESS: All cycles completed.",10
gemma3-4b,en,pseudocode,hyper,guided,8,"SUCCESS: All cycles completed.",10
llama3.2-3b,en,s,expression,hyper,1,"FAIL: Cycle 4 failed.",3
gemma3-4b,ja,minilang,fewshot,fizzbuzz,3,"SUCCESS: All cycles completed.",10
gemma3-4b,en,s,expression,hyper,25,"FAIL: Cycle 3 failed.",2
falcon3-3b,en,s,expression,hyper,5,"FAIL: Cycle 10 failed.",9
falcon3-3b,en,s,expression,fewshot,7,"SUCCESS: All cycles completed.",10
falcon3-3b,en,minilang,fewshot,fizzbuzz,5,"FAIL: Cycle 8 failed.",7
gemma3-4b,en,pseudocode,hyper,guided,13,"SUCCESS: All cycles completed.",10
llama3.2-3b,ja,pseudocode,hyper,guided,7,"FAIL: Cycle 5 failed.",4
gemma3-4b,en,s,expression,hyper,13,"FAIL: Cycle 4 failed.",3
gemma3-4b,en,pseudocode,hyper,guided,1,"SUCCESS: All cycles completed.",10
llama3.2-3b,en,s,expression,hyper,8,"FAIL: Cycle 10 failed.",9
falcon3-3b,en,s,expression,fewshot,9,"SUCCESS: All cycles completed.",10
gemma3-4b,en,pseudocode,hyper,guided,14,"SUCCESS: All cycles completed.",10
gemma3-4b,en,pseudocode,hyper,guided,6,"SUCCESS: All cycles completed.",10
gemma3-4b,en,s,expression,hyper,14,"FAIL: Cycle 6 failed.",5
falcon3-3b,en,pseudocode,hyper,guided,18,"SUCCESS: All cycles completed.",10
llama3.2-3b,ja,minilang,fewshot,fizzbuzz,22,"FAIL: Cycle 1 failed.",0
llama3.2-3b,en,minilang,hyper,guided,8,"FAIL: Cycle 1 failed.",0
gemma3-4b,ja,s,expression,hyper,23,"SUCCESS: All cycles completed.",10
falcon3-3b,en,pseudocode,hyper,guided,27,"SUCCESS: All cycles completed.",10
llama3.2-3b,en,pseudocode,hyper,guided,24,"SUCCESS: All cycles completed.",10
gemma3-4b,ja,s,expression,hyper,24,"SUCCESS: All cycles completed.",10
gemma3-4b,ja,pseudocode,fewshot,fizzbuzz,7,"SUCCESS: All cycles completed.",10
llama3.2-3b,ja,minilang,fewshot,fizzbuzz,25,"FAIL: Cycle 1 failed.",0
llama3.2-3b,en,pseudocode,hyper,guided,23,"SUCCESS: All cycles completed.",10
falcon3-3b,en,pseudocode,hyper,guided,20,"SUCCESS: All cycles completed.",10
llama3.2-3b,ja,minilang,fewshot,fizzbuzz,13,"FAIL: Cycle 1 failed.",0
gemma3-4b,ja,s,expression,hyper,12,"SUCCESS: All cycles completed.",10
falcon3-3b,en,pseudocode,hyper,guided,29,"SUCCESS: All cycles completed.",10
llama3.2-3b,ja,minilang,hyper,guided,5,"FAIL: Cycle 1 failed.",0
llama3.2-3b,en,minilang,hyper,guided,6,"FAIL: Cycle 2 failed.",1
llama3.2-3b,en,pseudocode,hyper,guided,15,"SUCCESS: All cycles completed.",10
falcon3-3b,en,pseudocode,hyper,guided,16,"SUCCESS: All cycles completed.",10
llama3.2-3b,ja,minilang,hyper,guided,2,"FAIL: Cycle 1 failed.",0
gemma3-4b,ja,s,expression,hyper,15,"SUCCESS: All cycles completed.",10
llama3.2-3b,ja,minilang,fewshot,fizzbuzz,14,"FAIL: Cycle 1 failed.",0
falcon3-3b,en,pseudocode,hyper,guided,11,"SUCCESS: All cycles completed.",10
llama3.2-3b,en,pseudocode,hyper,guided,12,"SUCCESS: All cycles completed.",10
llama3.2-3b,en,minilang,hyper,guided,1,"FAIL: Cycle 1 failed.",0
gemma3-4b,ja,pseudocode,fewshot,fizzbuzz,9,"SUCCESS: All cycles completed.",10
gemma3-4b,en,pseudocode,hyper,guided,15,"SUCCESS: All cycles completed.",10
falcon3-3b,en,s,expression,fewshot,8,"SUCCESS: All cycles completed.",10
llama3.2-3b,ja,pseudocode,hyper,guided,1,"FAIL: Cycle 2 failed.",1
gemma3-4b,en,s,expression,hyper,15,"SUCCESS: All cycles completed.",10
gemma3-4b,en,pseudocode,hyper,guided,7,"SUCCESS: All cycles completed.",10
llama3.2-3b,ja,pseudocode,hyper,guided,6,"FAIL: Cycle 6 failed.",5
gemma3-4b,en,pseudocode,hyper,guided,12,"SUCCESS: All cycles completed.",10
llama3.2-3b,en,s,expression,hyper,9,"FAIL: Cycle 4 failed.",3
gemma3-4b,en,s,expression,hyper,12,"FAIL: Cycle 9 failed.",8
gemma3-4b,en,pseudocode,hyper,guided,9,"SUCCESS: All cycles completed.",10
gemma3-4b,en,pseudocode,hyper,guided,24,"SUCCESS: All cycles completed.",10
falcon3-3b,en,s,expression,hyper,4,"FAIL: Cycle 2 failed.",1
falcon3-3b,en,s,expression,fewshot,6,"SUCCESS: All cycles completed.",10
falcon3-3b,en,minilang,fewshot,fizzbuzz,4,"FAIL: Cycle 7 failed.",6
gemma3-4b,ja,minilang,fewshot,fizzbuzz,2,"SUCCESS: All cycles completed.",10
gemma3-4b,en,s,expression,hyper,24,"SUCCESS: All cycles completed.",10
gemma3-4b,en,pseudocode,hyper,guided,23,"SUCCESS: All cycles completed.",10
llama3.2-3b,en,s,expression,hyper,7,"FAIL: Cycle 1 failed.",0
gemma3-4b,en,s,expression,hyper,23,"FAIL: Cycle 2 failed.",1
gemma3-4b,ja,minilang,fewshot,fizzbuzz,5,"SUCCESS: All cycles completed.",10
falcon3-3b,en,minilang,fewshot,fizzbuzz,3,"SUCCESS: All cycles completed.",10
llama3.2-3b,ja,pseudocode,hyper,guided,8,"FAIL: Cycle 1 failed.",0
falcon3-3b,en,s,expression,hyper,3,"FAIL: Cycle 1 failed.",0
